Steam ID,76561198353645457

Community Visibility State,3

Profile State,1

Persona Name,Soshis

Profile URL,https://steamcommunity.com/profiles/76561198353645457/

Avatar URL,https://avatars.steamstatic.com/43b37b323147bfd12f7ef41a8a9f40cfa384f57e.jpg

Avatar Medium URL,https://avatars.steamstatic.com/43b37b323147bfd12f7ef41a8a9f40cfa384f57e_medium.jpg

Avatar Full URL,https://avatars.steamstatic.com/43b37b323147bfd12f7ef41a8a9f40cfa384f57e_full.jpg

Avatar Hash,43b37b323147bfd12f7ef41a8a9f40cfa384f57e

Last Logoff,1741292355

Persona State,0

Primary Clan ID,103582791429521408

Time Created,1482699333

Persona State Flags,0

