Steam ID,76561199129768401

Community Visibility State,3

Profile State,1

Persona Name,Raininess_

Profile URL,https://steamcommunity.com/profiles/76561199129768401/

Avatar URL,https://avatars.steamstatic.com/f4f2fc58620a769dfcc51defda89ed5cb8fa7d75.jpg

Avatar Medium URL,https://avatars.steamstatic.com/f4f2fc58620a769dfcc51defda89ed5cb8fa7d75_medium.jpg

Avatar Full URL,https://avatars.steamstatic.com/f4f2fc58620a769dfcc51defda89ed5cb8fa7d75_full.jpg

Avatar Hash,f4f2fc58620a769dfcc51defda89ed5cb8fa7d75

Last Logoff,1741818589

Persona State,0

Primary Clan ID,103582791429521408

Time Created,1610554474

Persona State Flags,0

